Golden Boys,suspense,Jeet Goswami,Ravi Varma,85000
Kaccha Limboo,drama,Karan Bhanushali,Sagar Ballary,825000
Not A Love Story,thriller,Mahie Gill,Ram Gopal Verma,56700000
Qaidi Band,drama,Aadar Jain,Habib Faisal,4500000
Chaatwali,adult,Aadil Khan,Aadil Khan,1075000
Shuttlecock Boys,comedy,Aakar Kaushik,Hemant Gaba,170000
Dirty Marriage,adult,Aakash,Priyanka,35000
Future To Bright Hai Ji,drama,Aamir Bashir,Sanjay Amar,825000
Ghajini,action,Aamir Khan,A.R. Murugadoss,1945820000
Taare Zameen Par,drama,Aamir Khan,Aamir Khan,875785000
Mangal Pandey - The Rising,drama,Aamir Khan,Ketan Mehta,525785000
Fanaa,love_story,Aamir Khan,Kunal Kohli,1054800000
Dangal,drama,Aamir Khan,Nitish Tiwari,7024750000
3 Idiots,drama,Aamir Khan,Rajkumar Hirani,3491035000
PK,drama,Aamir Khan,Rajkumar Hirani,6160362500
Rang De Basanti,drama,Aamir Khan,Rakesh Omprakash Mehra,979080000
Talaash,thriller,Aamir Khan,Reema Kagti,1729717500
Dhoom 3,action,Aamir Khan,Vijay Krishna Acharya,5243760000
Pyaar Mein Aisa Hota Hai,thriller,Aanamika Bawa,Rajesh Kumar,350000
Gurjar Aandolan - A Fight For Right,drama,Aarun Nagar,Aarun Nagar,575000
Yehi Hai High Society,thriller,Aaryan,Ravi Sinha,4000000
Say Yes To Love,love_story,Aasad Mirza,Mahrukh Mirza,525000
Dreams - Sapnay Sach Honge...,love_story,Aashish Chanana,Aashish Chanana,1375000
Three - Love Lies Betrayal,thriller,Aashish Chaudhary,Vishal Pandya,10000000
Malegaon Me Gadbad Ghotala,comedy,Aasif Albela,Anwar Shaikh,300000
Khota Sikka - Jaat Ke Thaath,comedy,Aatri Kumar,Ram Pratap Singh,600000
Hi Fi Log,adult,Abhay Bakshi,Baba Jagirdar,500000
Dev D,drama,Abhay Deol,Anurag Kashyap,208200000
One By Two,rom__com,Abhay Deol,Devika Bhagat,37700000
Oye Lucky! Lucky Oye!,comedy,Abhay Deol,Dibakar Banerjee,100620000
Socha Na Tha,rom__com,Abhay Deol,Imtiaz Ali,52800000
Happy Bhaag Jayegi,rom__com,Abhay Deol,Mudassar Aziz,391500000
Manorama Six Feet Under,suspense,Abhay Deol,Navdeep Singh,5800000
Honeymoon Travels Pvt. Ltd.,rom__com,Abhay Deol,Reema Kagti,195160000
Ek Chalis Ki Last Local,comedy,Abhay Deol,Sanjay Khanduri,25000000
Ahista Ahista,love_story,Abhay Deol,Shivam Nair,23100000
Lottery,drama,Abhijeet Sawant,Hemant Prabhu,425000
Roar - Tigers Of The Sundarbans,thriller,Abhinav Shukla,Kamal Sadanah,134612500
Chakradhaar,action,Abhishek Anand,Dharam Prakash,6300000
Players,action,Abhishek Bachchan,Abbas - Mustan,485600000
Game,thriller,Abhishek Bachchan,Abhinay Deo,128792500
Khelein Hum Jee Jaan Sey,drama,Abhishek Bachchan,Ashutosh Gowariker,76653750
Drona,action,Abhishek Bachchan,Goldie Behl,180660000
Guru,drama,Abhishek Bachchan,Mani Ratnam,836710000
Raavan,action,Abhishek Bachchan,Mani Ratnam,495722500
Delhi 6,drama,Abhishek Bachchan,Rakesh Omprakash Mehra,521750000
Bluffmaster,thriller,Abhishek Bachchan,Rohan Sippy,327100000
Dum Maaro Dum,thriller,Abhishek Bachchan,Rohan Sippy,511940000
Bunty Aur Babli,comedy,Abhishek Bachchan,Shaad Ali,637405000
Jhoom Barabar Jhoom,rom__com,Abhishek Bachchan,Shaad Ali,485250000
Dostana,rom__com,Abhishek Bachchan,Tarun Mansukhani,871517500
All Is Well,drama,Abhishek Bachchan,Umesh Shukla,230320000
Apne Ghayal Indian,drama,Abhishek Gupta,Rajesh Dubey,140000
Naya Pata,drama,Abhishek Sharma,Pawan K. Shrivastava,16000
A Journey Of Samyak Buddha,drama,Abhishek Urade,Pravin Damle,350000
Hum Hai Raahi Car Ke,rom__com,Adah Sharma,Jyotin Goel,8200000
Strings - Bound By Faith,drama,Adam Bedi,Sanjay Jha,72500
Contract,thriller,Adhvik Mahajan,Ram Gopal Verma,36400000
Haal - E - Dil,love_story,Adhyayan Suman,Anil Devgan,7200000
Dehraadun Diary,thriller,Adhyayan Suman,Milind Ukey,3400000
Jashnn,drama,Adhyayan Suman,Raksha Mistry,38900000
Heartless,thriller,Adhyayan Suman,Shekhar Suman,11800000
Zed Plus,drama,Adil Hussain,Chandraprakash Dwivedi,7700000
For Real,drama,Adil Hussain,Sona Jain,1125000
Lessons In Forgetting,drama,Adil Hussain,Unni Vijayan,60000
Poorna,drama,Aditi Inamdar,Rahul Bose,37100000
Khanna & Iyer,comedy,Aditi Sharma,Hemant Hegde,1975000
Shaapit,horror,Aditya Narayan,Vikram Bhatt,104300000
Bandook,drama,Aditya Om,Aditya Om,2100000
Fitoor,drama,Aditya Roy Kapoor,Abhishek Kapoor,397825000
Daawat E Ishq,love_story,Aditya Roy Kapoor,Habib Faisal,341300000
Aashiqui 2,love_story,Aditya Roy Kapoor,Mohit Suri,1093800000
Ok Jaanu,drama,Aditya Roy Kapoor,Shaad Ali,375020000
Yeh Jo Mohabbat Hai,love_story,Aditya Samanta,Shree Narayan Singh,2934688
Dil Se Poochh... Kidhar Jaana Hai,drama,Aditya Shrivastava,Shrirang Dhhavale,210000
Ek Aur Murder,adult,Affi Khan,Suresh Jain,1050000
Feel - The Touch,adult,Afsar Khan,Shakeel S. Saifee,475000
1920 - Evil Returns,horror,Aftab Shivdasani,Bhushan Patel,280400000
Bin Bulaye Baraati,comedy,Aftab Shivdasani,Chandrakant Singh,32400000
Jaane Hoga Kya,fantasy,Aftab Shivdasani,Glen Barreto,2850000
