3 Idiots,2009,Rajkumar Hirani,8.4
PK,2014,Rajkumar Hirani,8.1
Radhe,2021,Prabhu Deva,1.8
Dangal,2016,Nitesh Tiwari,8.4
Dil Bechara,2020,Mukesh Chhabra,8.1
Rang De Basanti,2006,Rakeysh Omprakash Mehra,8.1
Lagaan: Once Upon a Time in India,2001,Ashutosh Gowariker,8.1
My Name Is Khan,2010,Karan Johar,8
Sadak 2,2020,Mahesh Bhatt,1.1
Shershaah,2021,Vishnuvardhan,8.9
Gangs of Wasseypur,2012,Anurag Kashyap,8.2
Andhadhun,2018,Sriram Raghavan,8.2
Bajrangi Bhaijaan,2015,Kabir Khan,8
Barfi!,2012,Anurag Basu,8.1
Munna Bhai M.B.B.S.,2003,Rajkumar Hirani,8.1
Chak De! India,2007,Shimit Amin,8.2
Drishyam,2015,Nishikant Kamat,8.2
A Wednesday,2008,Neeraj Pandey,8.1
Zindagi Na Milegi Dobara,2011,Zoya Akhtar,8.2
Coolie No. 1,2020,David Dhawan,3.4
Dil Chahta Hai,2001,Farhan Akhtar,8.1
Dilwale Dulhania Le Jayenge,1995,Aditya Chopra,8.1
Kal Ho Naa Ho,2003,Nikkhil Advani,7.9
Bhaag Milkha Bhaag,2013,Rakeysh Omprakash Mehra,8.2
Queen,2013,Vikas Bahl,8.2
Hera Pheri,2000,Priyadarshan,8.2
Kahaani,2012,Sujoy Ghosh,8.1
Gunday,2014,Ali Abbas Zafar,2.4
Ghajini,2008,A.R. Murugadoss,7.3
Hotel Mumbai,2018,Anthony Maras,7.6
Baby,2015,Neeraj Pandey,8
